,Description
6983,8 teams pick up wins in tonight’s action!
6984,@manuginobili for the @spurs W!
6985,???? @fchwpo ????
6986,?? GINOBILIIIIII ??
6987,You gotta box out Vince Carter!
6988,?? @giannis_an34 in transition! ??
6989,#DubNation
6990,Like peanut butter & jelly!
6991,@dwighthoward takes it coast to coast for the #NBABDAY SLAM!
6992,Ahead of tonight’s @celtics/@spurs action (9:30pm/et @nbaonespn)... we showcase @fchwpo’s athleticism!
6993,Get pumped for tonight’s @warriors/@detroitpistons action (7pm/et @nbaonespn)... with @1jordanbell above the rim!
6994,Let’s get it... ???? for the @lakers/@sixers flow! ????: @gallo_locknez
6995,We celebrate @dwighthoward’s 32nd Birthday showcasing his handles for the @hornets! #NBABDAY
6996,"The @lakers, @washwizards, @brooklynnets & @houstonrockets each pick up a W tonight!"
6997,???????????????? straight Ws for the @houstonrockets!
6998,?? @spidadmitchell crosses to the rim!
6999,@bradbeal3 beats the third quarter ?? for the @washwizards!
7000,@flydre21 rolls for the MONSTER SLAM! #NBAMexicoGames
7001,Poetry in Motion.... @1ngram4 for the @lakers win off the @zo dish! #PhantomCam #ThisIsWhyWePlay
7002,"With the score tied, @zo finds @1ngram4 for the @lakers win!"
7003,@bensimmons ????
7004,@josh_j11 puts it back WITH AUTHORITY!
7005,@bensimmons with a lil fake to the bucket!
7006,@1ngram4 gets to the rack for the @lakers reverse @nbaontnt!
7007,@lakers rooks @kuzmakyle and @zo warm up for tonight’s @nbaontnt action in Philadelphia.
7008,"@bensimmons to @joelembiid, on repeat! ??@sixers/@lakers ?8pm/et ??@nbaontnt"
7009,Remember this @theofficialai3 @sixers winner?!? #ThisIsYourTime #NBATBT
7010,@joelembiid protects the paint and runs the floor! #NBABreakdown ??@sixers/@lakers ?8pm/et ??@nbaontnt
7011,Missed free throws = push-ups!
7012,20 teams hit the floor on Wednesday night around the Association!
7013,"@kevindurant notches his 9th career triple-double with 35 points, 11 rebounds & 10 assists for the @warriors!"
7014,@deandre with a pair of oops early @nbaonespn!
7015,@kingjames’ late trey seals he victory for the @cavs!
7016,The @warriors turn defense to offense!
7017,@kyrieirving to the rack for the @celtics!
7018,@vicoladipo’s steal and trey completes the @pacers 16-point 4th quarter comeback!
7019,@_kw15 learned that on the playgrounds of NYC!
7020,The @cavs win streak reaches 13 straight games! #AllForOne
7021,@dwyanewade and @kingjames connect for the @cavs oop!
7022,@giannis_an34 extendsssss the left for the #NBABDAY SLAM!
7023,@denzelvalentine ???? @davidnwaba!
7024,@kporzee back in action for the @nyknicks!
7025,@kyle.oquinn x @courtneylee ????
7026,We celebrate @giannis_an34’s 23rd BIRTHDAY with a look at his BEST LEFTY DUNKS! #NBABDAY
7027,@bradbeal3’s career-high 51 leads the @washwizards in Portland!
7028,"Earlier today, the @BrooklynNets arrived in Mexico City for the 2017 #NBAMexicoGames!"
7029,"The @raptors, @okcthunder and @washwizards each rack up a W in tonight’s action!"
7030,A new career-high 51 for @bradbeal3!
7031,@josh_j11 gets into the paint and sets up @alexlen_21!
7032,@russwest44 cuts baseline off the @okcthunder inbounds!
7033,@dofficialmutombo approves of @sergeibaka’s swat in Toronto!
7034,Congrats to the @sportsillustrated Performer of the Year @mooremaya & Rising Star of the Year @joelembiid!
7035,22 teams hit the floor for a busy Monday night!
7036,"@stephencurry30 becomes the fastest to 2,000 career triples by 227 games!"
7037,@manuginobili up & under!!!
7038,Former President George W. Bush & First Lady Laura Bush attend tonight’s @nuggets/@dallasmavs action!
7039,@spidadmitchell comes out of nowhere!
7040,The @cavs win streak reaches 12 straight games! #AllForOne
7041,@dwighthoward uses his speed to the rim for the @hornets!
7042,@dbook closes out his 46-point night in style for the @suns!
7043,There’s a BLOCK PARTY in PHILLY!
7044,@giannis_an34 & @kyrieirving are going at it on @nbatv! #PhantomCam
7045,Lance with the dance!
7046,The @elfrid to @original00g connection! #PureMagic
7047,The BEST HANDLES from Week 7 around the NBA!
7048,Knocking them down from deep... the THREE POINT LEADERS heading into tonight’s action!
7049,"As Week 8 tips off, we check in with the stat leaders for the 2017-18 season!"
7050,The TOP #AssistsOfTheWeek... which was your fave?
7051,?????????????? straight Ws for the @houstonrockets!
7052,?? @therealpjtucker17’s #NBAKicks In LA! ??
7053,"The @okcthunder, @warriors, @houstonrockets, @timberwolves & @orlandomagic each WIN on Sunday!"
7054,@1ngram4 tosses it and @larrydn7 knows what to do!
7055,"@russwest44 tallies his 7th triple-double of the season with 22p, 10r & 10a in the @okcthunder W!"
7056,@jimmybutler spins into the lane for 2 of his 20 4th quarter points!
7057,@jrich_0 with the denial!
7058,Josh Huestis crushes home the oop for the @okcthunder!
7059,@ygtrece busts out the moves to toss the oop!
7060,@stephencurry30 & @zazapachulia run the two-man game to perfection!
7061,"?? @stephencurry30, @kevindurant & @klaythompson go through pregame warmups for the @warriors in Miami! #DubNation"
7062,The moment when you meet your favorite player! #ThisIsWhyWePlay @stephencurry30
7063,@tharealjsimms soars in for the SLAM!
7064,@kingjames scores twice late to secure @cavs 11th straight W!
7065,16 teams hit the floor on Saturday!
7066,@bosnianbeast27 threads the needle to @planetpat5!
7067,@thats_g_ with the ?? to avoid contact! #PhantomCam
7068,The @cavs win streak reaches 11 straight games!
7069,@expressmen NBA Game Changers @1ngram4 & @jmglitxh27 arrive for tonight’s action! #NBAStyle
7070,The vision!
7071,"Welcome Home, Sergeant Burgos! #HoopsForTroops"
7072,@dwyanewade goes in his bag of tricks!
7073,The TOP 3 PLAYS from November’s action!
7074,Coming up on today’s #InsideStuff (6:30pm/et @nbatv)... @atlhawks rook @jcollins20_ shows off their new practice facility!
7075,The @warriors dish an NBA season-high 46 assists on 55 field goals!
7076,?? @spidadmitchell becomes the first rookie since 2011 to score 40+ with his 41 tonight!
7077,8 winners for an 8-Game Friday night!
7078,@spidadmitchell euros to the bucket!
7079,"“Bang,Crossover,Bang!” ...@normanpowell4 on the attack for the @raptors!"
7080,"@money23green tosses it, @1jordanbell finishes it!"
7081,Mi Hermano! #ThisIsWhyWePlay
7082,@kingjames of the @cavs named Eastern Conference Kia NBA Player of the Month for October/November!#KiaPOTM
7083,@jharden13 of the @houstonrockets named Western Conference Kia NBA Player of the Month for October/November!#KiaPOTM
7084,@bensimmons of the @sixers named Eastern Conference Kia NBA Rookie of the Month for October/November! #KiaROTM
7085,@kuzmakyle of the @lakers named Western Conference Kia NBA Rookie of the Month for October/November! #KiaROTM
7086,"Driving down a different lane, @cp3 hosted his 9th annual Celebrity ?? Invitational!"
7087,"The @celtics, @cavs, @bucks, @nuggets & @utahjazz each pick up a W Thursday night!"
7088,@willthethrillb5 gets into the lane and wins it for the @nuggets!
7089,@spidadmitchell cuts for the NASTY ALLEY-OOP!
7090,"@giannis_an34 with the chasedown block, twice!"
7091,@kingjames rises up for the denial!
7092,The @cavs win streak reaches 10!
7093,"@kyrieirving behind his back, to the rack!"
7094,"Congrats to @KingJames of the @cavs for moving up to 10th on the all-time Field Goals Made list with 10,660! #ThisIsWhyWePlay"
7095,@kingjames on the attack to the rack!
7096,"Coming off a career-high 31p & 18r last night, @bensimmons warms up for tonight’s @sixers action in Boston on @nbatv!"
7097,Ahead of tonight’s @sixers action (vs. Boston 7:30pm/et @nbatv)... we showcase @bensimmons’ passing ability!
7098,The HUSTLE PLAYS win games! #NBABreakdown ??@sixers/@celtics ?7:30pm/et ??@nbatv!
7099,20 teams hit the floor around the NBA Wednesday night!
7100,@desmith4 with the rock!
7101,@andredrummondd ?? @reggie_jackson
7102,@kyle_lowry7 reveals the inspiration for tonight’s performance to @champagnepapi!
7103,@timmyjr10 beats the buzzer!! Did you like the shot or the shimmy more??
7104,@dwighthoward crossover & slam? @dwighthoward CROSSOVER & SLAM!
7105,@joelembiid does both!
7106,@elfrid creates space with the dribble!
7107,"The @bucks, @cavs, @washwizards, @suns & @utahjazz each win Monday night!"
7108,Oh My Goodness Gracious. ??
7109,?? ??
7110,@ebled2 threads the needle to @giannis_an34 ??
7111,@swipathefox climbs the ladder for the @sacramentokings!
7112,Longtime teammates @dwyanewade and @ud40 exchange jerseys! #ThisIsWhyWePlay
7113,Don’t blink... or you’ll miss the @22wiggins ??
7114,?? @kevinlove puts up 32 in the first half for the @cavs on 10/14 FG! ??
7115,"#TakeNote... @utahjazz rook @spidadmitchell’s got game!
Jazz/Nuggets: 10pm/et @nbaonespn"
7116,Inspiring the future in the City of Brotherly Love... #ThisIsWhyWePlay
7117,8 winners on a busy Monday around the Association!
7118,@bogdanbogdanovic’s runner wins it for the @sacramentokings!
7119,Vince Carter with a lil finesse and power!
7120,@andre doubles back for the REVERSE SLAM!
7121,@averybradleycamps tosses it... @andredrummondd finishes it!
7122,The @pacers find the open man!
7123,For the fans! #ThisIsWhyWePlay
7124,Poetry in Motion... @kevinlove finds @kingjames for the @cavs SLAM! #PhantomCam
7125,?? How old is Vince Carter again? ??
7126,@jharden13 steps back three times early en route to 20 first quarter points!
7127,@bismackbiyombo and @turner_myles will not let each other score!
7128,@kingjames beats the first-half buzzer for the @cavs!
7129,@kingjames x @bensimmons
7130,@dwyanewade wakes up his core with @cavs trainer @mikemancias1!
7131,The TOP #AssistsOfTheWeek... which was your fave?
7132,Countin’ down the TOP 3 DUNKS from Week 6’s NBA action!
7133,Countin’ down the TOP 3 HANDLES from Week 6’s NBA action!
7134,"As Week 7 tips off, we check in with the stat leaders for the 2017-18 season!"
7135,"The DUNKS.. SWATS.. and BUCKETS of the Reignman, SHAWN KEMP! (repost @nbahistory)"
7136,"The @timberwolves, @miamiheat & @brooklynnets each pick up Sunday wins!"
7137,@35_fitz seals the @brooklynnets W!
7138,A man of his word... @stephencurry30 with the #fannypack.
7139,10 winners in Saturday’s NBA action!
7140,"Drive, pump-fake, fade... @blakegriffin32 wins it for the @laclippers!"
7141,@utahjazz rook @spidadmitchell... making it happen!
7142,@damianlillard uses the glass on the wild reverse late!
7143,@_kw15 to the rack for the @hornets!
7144,Town Business... the @warriors debut their new #NIKExNBA Statement uni!
7145,?? @kyrieirving in transition for the @celtics! ??
7146,The @spurs way.. find the open man!
7147,Making a STATEMENT with new #NIKExNBA threads!
7148,@stephencurry30 goes off for 26 in the 2nd quarter as the @warriors pull away!
7149,"20 teams in action, 10 winners!"
7150,"@andre finishes it, plus the foul! #PosterAlert"
7151,TAG your SQUAD!
7152,@zazapachulia leads the @warriors break & feeds @1jordanbell ??
7153,@karltowns throws it down WITH AUTHORITY!
7154,"@russwest44 secures his sixth triple-double of the season for the @okcthunder with 27p, 11r, 11a."
7155,"@kingjames, deep in The Q!"
7156,"@kingjames has secured his second triple-double of the season for the @cavs with 19p, 11r, 11a through 3 quarters."
7157,@kyrieirving’s at it again!
7158,???? or ???? for the @cavs Statement uni?
7159,Every point counts... @ishsmith5 lets it fly!
7160,@damianlillard finds @nvonleh for the @trailblazers SLAM!
7161,@3jmccollum warms up the handles in Brooklyn for early @trailblazers action!
7162,28 teams hit the floor on a WILD night around the Association!
7163,@hbarnes’ @tissot.us buzzer beater for the @dallasmavs win headlines a 14-game night! #ThisIsYourTime
7164,@dbook buries the triple to force OT in Phoenix!
7165,@zo shows off the BOUNCE for the @lakers!
7166,@kingjames scores 23 in the 4th including 18 straight to secure @cavs W!
7167,@cp3 whips it to @tarikbblack for the birthday present!
7168,@hbarnes buries the @tissot.us buzzer beater for the @dallasmavs W! #ThisIsYourTime
7169,"34 points, 10 rebounds & 9 assists for @russwest44 in @okcthunder 108-91 W!"
7170,@eneskanter11 gifts @realtracymorgan with his #NBAKicks following the @nyknicks W!
7171,@waiters3 seals the victory for the @miamiheat!
7172,#ThunderUp x #DubNation
7173,@joelembiid protects the paint from behind!
7174,NUCLEAR ATHLETICISM by @russwest44!
7175,@bensimmons on the attack for the @sixers!
7176,Dunkin’ in the Mecca!
7177,@kyle_lowry7 tosses it... @demar_derozan finishes it!
7178,?? @eneskanter11... with authority! ?? #PosterAlert
7179,@russwest44 ...is ...pumped @nbaonespn!
7180,?? @carmeloanthony x @the2kferguson ??
7181,@teamswish ??
7182,@kevindurant warms up tonight’s @warriors action in OKC @nbaonespn!
7183,@stephencurry30 hits the floor to warm up & sign autographs in OKC!
7184,@russwest44 hits the floor early ahead of tonight’s @okcthunder/@warriors action 8pm/et @nbaonespn!
7185,"“What you think, Mully?” ...a pair of @warriors legends & @hoophall enshrinees chime in on @stephencurry30 & @kevindurant ahead of tonight’s action (8pm/et @nbaonespn)!"
7186,Catch the speedy @swipathefox in action tonight as the @sacramentokings host the @lakers 10:30pm/et @nbaonespn! #NBABreakdown
7187,@blakeney96 skies for the @chicagobulls in LA!
7188,"Running the play to perfection, @zo catches the @lakers oop!"
7189,Knocking them down from deep... the Three Point Leaders heading into tonight’s action!
7190,The BANK is OPEN for @stephencurry30 & @kevindurant at @warriors practice!
7191,?? Mindset. #ThisIsWhyWePlay
7192,22 teams hit the floor on a busy Monday night around  the NBA!
7193,@kyrieirving’s clutch buckets (47p) lead the @celtics to 16th straight W!
7194,???????????????????????????????? in a row for the @celtics as the streak reaches 16!
7195,"@russwest44 registers his 5th triple-double of the season for the @okcthunder with 22p, 16r & 12a."
7196,?? @giannis_an34 impressed on both ends for the @bucks!
7197,GREEN means GO!
7198,@kyrieirving uses his dribble for the triple!
7199,@jeramigrant shows off the BOUNCE from @ygtrece!
7200,@jaytatum0 on the attack for the @celtics! #PosterAlert
7201,@teamswish flicks it to @dwyanewade for the @cavs bucket!
7202,@stephensonlance makes it easy for @turner_myles!
7203,Jumpin’ at The Garden!
7204,The TOP #AssistsOfTheWeek... which was your fave?
7205,Countin’ down the TOP 3 DUNKS from Week 5’s NBA action!
7206,"As Week 6 tips off, we check in with the stat leaders for the 2017-18 season!"
7207,Countin’ down the TOP 3 HANDLES from Week 5’s NBA action!
7208,@zo becomes the first @lakers rookie with multiple triple-doubles since @magicjohnson (1979)!
7209,"The @warriors, @pacers, @raptors, @detroitpistons, @suns & @lakers each pick up Ws on Sunday!"
7210,@zo taps in the oop from @juliusrandle30!
7211,@zo’s swat sparks the @lakers transition!
7212,@jokara95 finds @illwil21 for the @nuggets triple!
7213,@turner_myles says No!
7214,?? @waiters3 ??
7215,@pskills43 follows up the miss for the @raptors!
7216,14 teams hit the floor for Saturday’s 7 games!
7217,@kyrieirving... too smooth!
7218,@kyrieirving gifts out his #NBAKicks following the @celtics’ 15th straight W! #PhantomCam #ThisIsWhyWePlay
7219,"Led by @stephencurry30’s 20-point 3rd quarter, the @warriors overcome 24-point deficit for the W!"
7220,?????????????????????????????? in a row for the @celtics as the streak continues!
7221,@jaytatum0 takes it coast-to-coast... twice!
7222,When you get to meet your hero.... #ThisIsWhyWePlay
7223,After the @sixers score 47 in the first quarter... the ?? shooting continues during the break!
7224,@bensimmons finds @joelembiid for the @sixers SLAM!
7225,We celebrate JASON WILLIAMS’ 42nd BIRTHDAY with his TOP 3 ASSISTS! #NBAvault #NBABDAY (repost @nbahistory)
7226,22 teams in action Friday night!
7227,@antdavis23 flushes it down @nbaonespn! #PosterAlert
